Asin,Brand,Title,Price,keywords,Categories,Bestsellers_rank,Rating,Ratings_total,Bundles,Frequently_bought_together,Newer_model,Color,Connectivity_Technology,Printing_Technology,Printer_Output,Maximum_Print_Speed_Color,Weight,Depth,Width,Height,Special_Feature,TotalNo_Special_Feature
B0CFVKJNH1,PACITEK,PACITEK 910XL Black Ink Compatible with HP 910xl Black Ink 910 XL Black Ink cartridges for hp Printers Work with HP OfficeJet Pro 8020 8025 8025e 8035 8028 8022 8015 8018 Printer high Yield 2 Pack,29.99,25,Electronics,49060,4.1,42,0,2,0,other,bluetooth,other,Color,0,198.45,7.839467456,7.963402367,5.807751479,"['8010', ' 8010e', ' 8012e', ' 8014e', ' 8015', ' 8015e', ' 8018', ' 8022', ' 8022e; HP OfficeJet Pro 8020', ' 8020e', ' 8024e', ' 8025', ' 8025e', ' 8028', ' 8028e', ' 8035', ' 8035e See more']",17
B0C9LDKLMV,Printers Jack,Printers Jack Compatible 590ml 502 T502 Refill Ink Bottles Replacement for ET 2750 ET 3750 ET 4750 ET 2760 ET 3760 ET 4760 ET 2700 ET 3700 ET 3710 ET 15000 ST 2000 ST 3000 ST 4000 Printer 502 590ml  2BK C M Y ,22.49,22,Electronics,0,4.6,3378,0,2,0,other,bluetooth,other,Color,0,0,7.839467456,7.963402367,5.807751479,"['OEM', ' Compatible']",2
B00LGCUPQU,Brother,Brother Genuine Standard Yield Toner Cartridge  TN630  Replacement Black Toner  Page Yield Up to 1 200 Pages  Amazon Dash Replenishment Cartridge,93.17,17,Office Products,0,4.7,9220,0,2,0,black,bluetooth,Laser,Color,0,635.04,7.839467456,7.963402367,5.807751479,['Brother toner cartridge'],1
B0C6CQQPVC,Brother,Brother Monochrome Laser All in One MFCL5705DW  up to 1 000 Extra Pages of Additional Toner Included in Box‚   New Model  MFC L5705DW,369.99,11,Electronics,13467,4.3,788,0,2,0,gray,usb,Laser,Color,0,16511.04,6.61,6.73,7.52,"['Auto-Duplex', ' Network-Ready', ' Energy Star', ' Display Screen', ' Double Sided Scanning']",5
B0BBQN3NYV,HPRT,Mini Label Maker Machine with Tape  Bluetooth Wireless Connection for iPhone Android  Cute Label Makers Inkless Waterproof for Home  Office Organizing  Multiple Pre Made Templates‚   1 Tape beige,9.99,22,Electronics,7588,4.2,427,0,2,0,beige,bluetooth,Thermal,Color,10,150,4,3,2,"['Hockey puck shape', ' Inbulit recharging', ' Creative APP Functions', ' Inkless', ' Palm-sized & portable']",5
B09D7WWJQZ,Canon,Canon PIXMA 3522 Series All in One Color Inkjet Printer I Print Copy Scan I Mobile Printing I Wireless I 1 5  Segment LCD I 50 Sheets Paper Tray I 4800 x 1200 dpi I Black   Printer Cable,42.06,24,Electronics,77706,4,104,0,0,0,black,wi-fi usb,Inkjet,Color,0,3991.68,5.08,6.77,2.28,['Wireless'],1
B00KDIU3FG,Epson,EPSON 252 DURABrite Ultra Ink Standard Capacity Color Combo Pack  T252520 S  Works with WorkForce WF 3620  WF 3640  WF 7110  WF 7610  WF 7620  WF 7710  WF 7720  WF 7210 Color Combo Ink Standard Packaging,32,20,Office Products,2465,4.6,5992,0,2,0,black,bluetooth,Inkjet,Color,0,45.36,2.3,4.35,4.75,['300'],1
B0CDJVQTCT,SUDLTO,SUDLTO TN760 TN 760 Compatible with Brother TN760 TN730 Toner TN 730 TN 760 to Use with MFC L2750DW HL L2370DW MFC L2710DW HL L2350DW DCP L2550DW HL L2390DW Printer  2 Black  High Yield  2 pack of TN760,29.98,21,Office Products,6001,4.7,129,0,2,0,other,bluetooth,other,Color,0,1070,7.839467456,7.963402367,5.807751479,['2 pack of tn760 tn-760'],1
B08X458JFQ,Phomemo,Phomemo M02S Mini Phone Printer  300dpi Bluetooth Thermal Tiny Photo Printer for Work List  Plan  Photo Printing  DIY Label Sticker  with Total 6 Rolls Paper  Black Black 1 Printer   6 Roll Papers,79.99,23,Electronics,41442,4.4,1600,0,2,0,black,bluetooth usb,Thermal,Color,0,405.405,7.839467456,7.963402367,5.807751479,['Bluetooth'],1
B0BSMSYM9N,Canon,Canon MegaTank G3270 All in One Wireless Inkjet Printer  for Home Use  Print  Scan and Copy  Black G3270  New Model ,149,12,Electronics,607,4.2,4266,0,2,0,black,wi-fi usb,Inkjet,Color,6,5987.52,21.9,16.4,10.6,"['Network-Ready', ' Epeat Qualified', ' Energy Star', ' Display Screen', ' Borderless Printing']",5
B0BWXS44H2,Anemec,Anemec 910XL Ink Cartridges Combo Pack Replacement for HP Ink 910 XL Compatible with OfficeJet Pro 8020 8025 8028 8035 8030 8010 8015 8018 8022 Printer  1 Black 1 Cyan 1 Magenta 1 Yellow  Black Cyan Magenta Yellow,49.99,23,Electronics,3738,3.9,1619,0,2,0,other,bluetooth,other,Color,0,198.45,7.839467456,7.963402367,5.807751479,['1200'],1
