Asin,Brand,Title,price,keywords,protection_plans,variants,categories,Bestsellers_rank,Rating,Ratings_total,weight,Dimensions,Bundles,Frequently_bought_together,Newer_model,Connectivity_Technology,Printing_Technology,Special_Feature,Color,Printer_Output,Maximum_Print_Speed_Color,Max_Printspeed_Monochrome,Controller_Type
B0BRBY6888,Nelko,"Bluetooth Thermal Shipping Label Printer, Wireless 4x6 Shipping Label Printer for Shipping Packages, Support Android, iPhone and Windows, Widely Used for Amazon, Ebay, Shopify, Etsy, USPS Black",89.88,22,2,5,Office Products,1250,4.4,2157,1.4 Kilograms,"9""D x 6""W x 5""H",17,2,yes,"wired, wireless",Thermal,"Compact Size and Easy to Set up, Bluetooth Technology, No ink No toner, Auto Detection, Auto Paper Return and Intelligent Self-Test See more",Black,Monochrome, ,1.4 Kilograms,
B08XW7LT9P,HP,"HP OfficeJet 8015e Wireless Color All-in-One Printer with 6 Months Free Ink with HP+(228F5A), White New",159.99,12,3,2,Electronics,762,4.1,4912,18.04 Pounds,13.29 x 18.11 x 9.17 inches,0,2,No,wireless,Inkjet,"Network-Ready, Energy Star",White,Color,10 ppm,18 ppm,
B096BF5DJQ,Filery,"Compatible Ink Cartridges Replacement for Canon 280 281 280XXL 281XXL, Work with PIXMA 20 TR8520 TS6120 TS6220 TS8120 TR7520 Printer, 5 Pack (1 PGBK, 1 Black, 1 Cyan, 1 Magenta, 1 Yellow)",19.99,21,,,Electronics,12789,4.7,906,6.1 ounces, ,0,0,No,"Yellow, Cyan, Black, Magenta", ,Printer, ,"PGBK, Black, Cyan, Magenta, Yellow", ,,
B091JC6CNY,Brother,Brother Premium MFC-L2690DW Compact Monochrome All-in-One Laser Printer,147.57,8,3,,Electronics,20529,4.5,948,20 Pounds,21 x 15.8 x 19.8 inches,0,2,No,"Wi-Fi, USB",Laser,Wireless,black,Monochrome,26 ppm,26 ppm,
B0CGRNZM6H,Tounker,"Tounker Sublimation Ink for EcoTank Supertank Inkjet Printer ET-2400 ET-2720 ET-2760 ET-2750 ET-2800 ET-2803 ET-4800 ET-3760 ET-2850 WF-7720 ET-15000 Heat Press Transfer on Mugs, Polyester Shirts etc",15.99,23,,,Office Products,14960,4.8,96,‎1.17 pounds, ,0,2,No,Tounker, ,Printer, ,"1‎Black, 1Yellow, 1Cyan, 1Magenta Sublimation Ink", ,,
B09RJKCGPY,Canon,"Canon PG-275 XL/CL-276 XL Value Pack, Compatible to PIXMA TS3520, TS3522 and TR4720 Printers",54.9,11,,,Office Products,0,4.7,1625, , ,0,0,No,Canon, ,1200, ,Compatible, ,"Canon PIXMA TS3520, Canon PIXMA TR4722, Canon PIXMA TS3522, Canon PIXMA TR4720",
B0CRLB559N,BKBKC,"245XL 246XL Ink Cartridges Combo Pack for Canon Ink 245 and 246 Remanufactured for Canon PG-245XL CL-246XL for Canon Pixma MX492 TR4520 MG2522 TS3322 MG2500 TR4520 Printer (1Black, Tri-Color)",44.99,21,1,,Electronics,17437,4.9,16,3.84 ounces,3.1 x 3.1 x 2.8 inches,0,2,No,"1Black, Tri-Color", ,Compatible Printers: PIXMA TR SERIES: Pixma TR4520 TR4522 TS3120 TS3122 TS3320 Pixma MX490 MX492 Printer. See more, , , ,,
B0C33WT9R2,Abfray,245XL Ink Cartridges for Canon PG-245 XL 2 Black Compatible for PIXMA MG2420 MG2520 MG2522 MG2525 MG2920 MG2922 MG2924 MG3020 MG3022 MG3029 TR4520 TR4522 TS3120 TS3122 TS3320 TS202 TS302 Printer,26.99,25,,,Electronics,1010,4.6,840,3.84 ounces,1 x 1 x 1 inches,0,2,No,Abfray, ,450, ,Compatible, ,"Canon PIXMA MG3020, Canon PIXMA TR4522, Canon PIXMA MG3022, Canon PIXMA TR4520, Canon PIXMA MG2520, Canon PIXMA MG2420, Canon PIXMA MX492, Canon PIXMA MG2522, Canon PIXMA MG2920, Canon PIXMA MG3029, Canon PIXMA MG2922, Canon PIXMA MX490, Canon PIXMA MG2525, Canon PIXMA MG2924, Canon PIXMA TS3120, Canon PIXMA TS302, Canon PIXMA TS3122, Canon PIXMA TS3320, Canon PIXMA TS202, Canon PIXMA iP2820 See more",
B0BTGLTBDB,Itari,"Itari Portable Bluetooth Thermal Tattoo Stencil-Printer - M08F Compact Printer for Phone & Laptop, Portable Printers Wireless for Travel, Home Use, Vehicles, Office, School, Support 8.5"" X 11"" Letter Printer Pink",118.39,22,6,9,Electronics,58391,4.2,500,2.02 pounds,"14""D x 4.6""W x 3.6""H",2,0,yes,Bluetooth,Thermal,"Portable, Bluetooth Connection, Inkless Printing, Only support thermal paper",Pink,Color, ,,Android
B0CGTMQRWZ,PAPRMA,"Mini Pocket Sticker Printer 13 Rolls Paper, Bluetooth Wireless Mini Thermal Printer for Phone iOS Android, Inkless Portable Print Pod for Notes Stickers Photos Pictures Gift for Kids (PK) Pink",23.99,23,,2,Electronics,75157,4.1,49,160 Grams,1.4 x 3.1 x 4.3 inches,3,2,No,Bluetooth,Thermal,"Portable, Lightweight",Pink,Monochrome,1 ppm,1 ppm,
